*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Dec 11 2024 17:59:53
*************************************************
parsing config file: /home/functionmain/桌面/Pythia/config/bingo.ini

trace_0 /home/functionmain/桌面/Pythia/traces/403.gcc-16B.champsimtrace.xz
Heartbeat CPU  0 instructions:    2000000 cycles:     861369 heartbeat IPC: 2.44927 cumulative IPC: 2.32189 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    1299566 heartbeat IPC: 2.28209 cumulative IPC: 2.30847 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1765828 heartbeat IPC: 2.14471 cumulative IPC: 2.26523 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2181333 heartbeat IPC: 2.40671 cumulative IPC: 2.29218 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    2658686 heartbeat IPC: 2.09489 cumulative IPC: 2.25675 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    7000002 cycles:    3082332 heartbeat IPC: 2.36047 cumulative IPC: 2.27101 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3488536 heartbeat IPC: 2.46181 cumulative IPC: 2.29323 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    9000003 cycles:    3937202 heartbeat IPC: 2.22884 cumulative IPC: 2.28589 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    4377880 heartbeat IPC: 2.26923 cumulative IPC: 2.28421 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    4782094 heartbeat IPC: 2.47393 cumulative IPC: 2.30025 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5196328 heartbeat IPC: 2.41409 cumulative IPC: 2.30932 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    5649470 heartbeat IPC: 2.20682 cumulative IPC: 2.30110 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    6084781 heartbeat IPC: 2.29721 cumulative IPC: 2.30082 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:    6489885 heartbeat IPC: 2.46849 cumulative IPC: 2.31129 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    6910111 heartbeat IPC: 2.37967 cumulative IPC: 2.31545 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:    7353091 heartbeat IPC: 2.25744 cumulative IPC: 2.31195 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:   18000000 cycles:    7788399 heartbeat IPC: 2.29722 cumulative IPC: 2.31113 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    8188992 heartbeat IPC: 2.49630 cumulative IPC: 2.32019 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    8635742 heartbeat IPC: 2.23839 cumulative IPC: 2.31596 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:    9080945 heartbeat IPC: 2.24617 cumulative IPC: 2.31253 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   22000000 cycles:    9481672 heartbeat IPC: 2.49546 cumulative IPC: 2.32027 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   23000003 cycles:    9895966 heartbeat IPC: 2.41375 cumulative IPC: 2.32418 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   10338226 heartbeat IPC: 2.26111 cumulative IPC: 2.32148 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   10787222 heartbeat IPC: 2.22719 cumulative IPC: 2.31756 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   11183530 heartbeat IPC: 2.52329 cumulative IPC: 2.32485 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   27000001 cycles:   11598360 heartbeat IPC: 2.41063 cumulative IPC: 2.32792 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   12046133 heartbeat IPC: 2.23327 cumulative IPC: 2.32440 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   12479029 heartbeat IPC: 2.31002 cumulative IPC: 2.32390 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   30000003 cycles:   12886833 heartbeat IPC: 2.45217 cumulative IPC: 2.32796 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   31000003 cycles:   13377106 heartbeat IPC: 2.03968 cumulative IPC: 2.31739 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   13779817 heartbeat IPC: 2.48316 cumulative IPC: 2.32224 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   33000001 cycles:   14203809 heartbeat IPC: 2.35854 cumulative IPC: 2.32332 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   14655958 heartbeat IPC: 2.21166 cumulative IPC: 2.31988 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   15077391 heartbeat IPC: 2.37285 cumulative IPC: 2.32136 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   15474623 heartbeat IPC: 2.51742 cumulative IPC: 2.32639 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   15910068 heartbeat IPC: 2.29650 cumulative IPC: 2.32557 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   16358293 heartbeat IPC: 2.23102 cumulative IPC: 2.32298 (Simulation time: 0 hr 1 min 3 sec) 
Heartbeat CPU  0 instructions:   39000000 cycles:   16774588 heartbeat IPC: 2.40214 cumulative IPC: 2.32495 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   17173089 heartbeat IPC: 2.50940 cumulative IPC: 2.32923 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   41000003 cycles:   17615196 heartbeat IPC: 2.26190 cumulative IPC: 2.32754 (Simulation time: 0 hr 1 min 8 sec) 
Heartbeat CPU  0 instructions:   42000003 cycles:   18057475 heartbeat IPC: 2.26102 cumulative IPC: 2.32591 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   43000002 cycles:   18463688 heartbeat IPC: 2.46176 cumulative IPC: 2.32890 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   18914097 heartbeat IPC: 2.22020 cumulative IPC: 2.32631 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   45000000 cycles:   19361896 heartbeat IPC: 2.23314 cumulative IPC: 2.32415 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   46000003 cycles:   19775249 heartbeat IPC: 2.41925 cumulative IPC: 2.32614 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  0 instructions:   47000003 cycles:   20228651 heartbeat IPC: 2.20555 cumulative IPC: 2.32344 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   20652379 heartbeat IPC: 2.36000 cumulative IPC: 2.32419 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   49000003 cycles:   21061111 heartbeat IPC: 2.44660 cumulative IPC: 2.32656 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  0 instructions:   50000000 cycles:   21501411 heartbeat IPC: 2.27117 cumulative IPC: 2.32543 (Simulation time: 0 hr 1 min 22 sec) 
Heartbeat CPU  0 instructions:   51000003 cycles:   21938443 heartbeat IPC: 2.28817 cumulative IPC: 2.32469 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   22345793 heartbeat IPC: 2.45488 cumulative IPC: 2.32706 (Simulation time: 0 hr 1 min 26 sec) 
Heartbeat CPU  0 instructions:   53000000 cycles:   22761244 heartbeat IPC: 2.40702 cumulative IPC: 2.32852 (Simulation time: 0 hr 1 min 27 sec) 
Heartbeat CPU  0 instructions:   54000001 cycles:   23201109 heartbeat IPC: 2.27343 cumulative IPC: 2.32748 (Simulation time: 0 hr 1 min 29 sec) 
Heartbeat CPU  0 instructions:   55000001 cycles:   23636075 heartbeat IPC: 2.29903 cumulative IPC: 2.32695 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   24043395 heartbeat IPC: 2.45507 cumulative IPC: 2.32912 (Simulation time: 0 hr 1 min 32 sec) 
Heartbeat CPU  0 instructions:   57000003 cycles:   24459138 heartbeat IPC: 2.40534 cumulative IPC: 2.33042 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  0 instructions:   58000001 cycles:   24906336 heartbeat IPC: 2.23614 cumulative IPC: 2.32872 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  0 instructions:   59000000 cycles:   25337016 heartbeat IPC: 2.32191 cumulative IPC: 2.32861 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   25732728 heartbeat IPC: 2.52709 cumulative IPC: 2.33166 (Simulation time: 0 hr 1 min 39 sec) 
Heartbeat CPU  0 instructions:   61000001 cycles:   26184427 heartbeat IPC: 2.21387 cumulative IPC: 2.32963 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  0 instructions:   62000001 cycles:   26622503 heartbeat IPC: 2.28271 cumulative IPC: 2.32886 (Simulation time: 0 hr 1 min 42 sec) 
Heartbeat CPU  0 instructions:   63000000 cycles:   27026528 heartbeat IPC: 2.47509 cumulative IPC: 2.33104 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   27436167 heartbeat IPC: 2.44117 cumulative IPC: 2.33269 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   65000001 cycles:   27884148 heartbeat IPC: 2.23224 cumulative IPC: 2.33107 (Simulation time: 0 hr 1 min 47 sec) 
Heartbeat CPU  0 instructions:   66000003 cycles:   28322576 heartbeat IPC: 2.28088 cumulative IPC: 2.33030 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   67000000 cycles:   28721905 heartbeat IPC: 2.50419 cumulative IPC: 2.33271 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   29138079 heartbeat IPC: 2.40284 cumulative IPC: 2.33372 (Simulation time: 0 hr 1 min 52 sec) 
Heartbeat CPU  0 instructions:   69000001 cycles:   29579464 heartbeat IPC: 2.26560 cumulative IPC: 2.33270 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   70000001 cycles:   30012952 heartbeat IPC: 2.30687 cumulative IPC: 2.33233 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  0 instructions:   71000003 cycles:   30438291 heartbeat IPC: 2.35107 cumulative IPC: 2.33259 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   30913952 heartbeat IPC: 2.10233 cumulative IPC: 2.32905 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  0 instructions:   73000001 cycles:   31310388 heartbeat IPC: 2.52248 cumulative IPC: 2.33149 (Simulation time: 0 hr 2 min 0 sec) 
Heartbeat CPU  0 instructions:   74000000 cycles:   31750220 heartbeat IPC: 2.27359 cumulative IPC: 2.33069 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  0 instructions:   75000003 cycles:   32201434 heartbeat IPC: 2.21625 cumulative IPC: 2.32909 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   32602401 heartbeat IPC: 2.49396 cumulative IPC: 2.33112 (Simulation time: 0 hr 2 min 5 sec) 
Heartbeat CPU  0 instructions:   77000001 cycles:   33019292 heartbeat IPC: 2.39871 cumulative IPC: 2.33197 (Simulation time: 0 hr 2 min 7 sec) 
Heartbeat CPU  0 instructions:   78000001 cycles:   33454445 heartbeat IPC: 2.29804 cumulative IPC: 2.33153 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   79000000 cycles:   33900915 heartbeat IPC: 2.23979 cumulative IPC: 2.33032 (Simulation time: 0 hr 2 min 10 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   34296996 heartbeat IPC: 2.52474 cumulative IPC: 2.33257 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  0 instructions:   81000003 cycles:   34714862 heartbeat IPC: 2.39312 cumulative IPC: 2.33329 (Simulation time: 0 hr 2 min 13 sec) 
Heartbeat CPU  0 instructions:   82000003 cycles:   35156175 heartbeat IPC: 2.26597 cumulative IPC: 2.33245 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  0 instructions:   83000000 cycles:   35591297 heartbeat IPC: 2.29820 cumulative IPC: 2.33203 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   35984709 heartbeat IPC: 2.54186 cumulative IPC: 2.33432 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  0 instructions:   85000000 cycles:   36425197 heartbeat IPC: 2.27021 cumulative IPC: 2.33355 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:   86000001 cycles:   36865991 heartbeat IPC: 2.26864 cumulative IPC: 2.33277 (Simulation time: 0 hr 2 min 22 sec) 
Heartbeat CPU  0 instructions:   87000002 cycles:   37277362 heartbeat IPC: 2.43090 cumulative IPC: 2.33386 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:   37693357 heartbeat IPC: 2.40387 cumulative IPC: 2.33463 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  0 instructions:   89000001 cycles:   38129650 heartbeat IPC: 2.29204 cumulative IPC: 2.33414 (Simulation time: 0 hr 2 min 27 sec) 
Heartbeat CPU  0 instructions:   90000000 cycles:   38564297 heartbeat IPC: 2.30072 cumulative IPC: 2.33376 (Simulation time: 0 hr 2 min 28 sec) 
Heartbeat CPU  0 instructions:   91000000 cycles:   38970332 heartbeat IPC: 2.46284 cumulative IPC: 2.33511 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:   39388815 heartbeat IPC: 2.38958 cumulative IPC: 2.33569 (Simulation time: 0 hr 2 min 32 sec) 
Heartbeat CPU  0 instructions:   93000000 cycles:   39822347 heartbeat IPC: 2.30663 cumulative IPC: 2.33537 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   94000002 cycles:   40262493 heartbeat IPC: 2.27198 cumulative IPC: 2.33468 (Simulation time: 0 hr 2 min 35 sec) 
Heartbeat CPU  0 instructions:   95000000 cycles:   40654512 heartbeat IPC: 2.55089 cumulative IPC: 2.33676 (Simulation time: 0 hr 2 min 37 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:   41088415 heartbeat IPC: 2.30466 cumulative IPC: 2.33643 (Simulation time: 0 hr 2 min 38 sec) 
Heartbeat CPU  0 instructions:   97000001 cycles:   41550970 heartbeat IPC: 2.16191 cumulative IPC: 2.33448 (Simulation time: 0 hr 2 min 40 sec) 
Heartbeat CPU  0 instructions:   98000003 cycles:   41970090 heartbeat IPC: 2.38596 cumulative IPC: 2.33500 (Simulation time: 0 hr 2 min 41 sec) 
Heartbeat CPU  0 instructions:   99000001 cycles:   42412456 heartbeat IPC: 2.26057 cumulative IPC: 2.33422 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:   42843644 heartbeat IPC: 2.31917 cumulative IPC: 2.33407 (Simulation time: 0 hr 2 min 45 sec) 

Warmup complete CPU  0 instructions:  100000001 cycles:   42843645 (Simulation time: 0 hr 2 min 45 sec) 

Heartbeat CPU  0 instructions:  101000001 cycles:   43519433 heartbeat IPC: 1.47975 cumulative IPC: 1.47975 (Simulation time: 0 hr 2 min 47 sec) 
Heartbeat CPU  0 instructions:  102000003 cycles:   44204371 heartbeat IPC: 1.45999 cumulative IPC: 1.46981 (Simulation time: 0 hr 2 min 49 sec) 
Heartbeat CPU  0 instructions:  103000003 cycles:   44886654 heartbeat IPC: 1.46567 cumulative IPC: 1.46842 (Simulation time: 0 hr 2 min 51 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:   45568917 heartbeat IPC: 1.46571 cumulative IPC: 1.46774 (Simulation time: 0 hr 2 min 52 sec) 
Heartbeat CPU  0 instructions:  105000001 cycles:   46257329 heartbeat IPC: 1.45262 cumulative IPC: 1.46469 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:  106000000 cycles:   46937431 heartbeat IPC: 1.47037 cumulative IPC: 1.46564 (Simulation time: 0 hr 2 min 56 sec) 
Heartbeat CPU  0 instructions:  107000001 cycles:   47617273 heartbeat IPC: 1.47093 cumulative IPC: 1.46639 (Simulation time: 0 hr 2 min 58 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:   48331884 heartbeat IPC: 1.39936 cumulative IPC: 1.45766 (Simulation time: 0 hr 3 min 0 sec) 
Heartbeat CPU  0 instructions:  109000001 cycles:   49006383 heartbeat IPC: 1.48258 cumulative IPC: 1.46039 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  0 instructions:  110000003 cycles:   49781230 heartbeat IPC: 1.29058 cumulative IPC: 1.44142 (Simulation time: 0 hr 3 min 4 sec) 
Heartbeat CPU  0 instructions:  111000000 cycles:   50628142 heartbeat IPC: 1.18076 cumulative IPC: 1.41306 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:   51428520 heartbeat IPC: 1.24941 cumulative IPC: 1.39781 (Simulation time: 0 hr 3 min 8 sec) 
Heartbeat CPU  0 instructions:  113000003 cycles:   52129346 heartbeat IPC: 1.42689 cumulative IPC: 1.40000 (Simulation time: 0 hr 3 min 10 sec) 
Heartbeat CPU  0 instructions:  114000001 cycles:   52828310 heartbeat IPC: 1.43069 cumulative IPC: 1.40215 (Simulation time: 0 hr 3 min 12 sec) 
Heartbeat CPU  0 instructions:  115000002 cycles:   53545674 heartbeat IPC: 1.39399 cumulative IPC: 1.40160 (Simulation time: 0 hr 3 min 14 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:   54232147 heartbeat IPC: 1.45672 cumulative IPC: 1.40493 (Simulation time: 0 hr 3 min 15 sec) 
Heartbeat CPU  0 instructions:  117000000 cycles:   54900115 heartbeat IPC: 1.49708 cumulative IPC: 1.41003 (Simulation time: 0 hr 3 min 17 sec) 
Heartbeat CPU  0 instructions:  118000000 cycles:   55549051 heartbeat IPC: 1.54098 cumulative IPC: 1.41672 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  0 instructions:  119000002 cycles:   56272965 heartbeat IPC: 1.38138 cumulative IPC: 1.41481 (Simulation time: 0 hr 3 min 21 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:   56948221 heartbeat IPC: 1.48092 cumulative IPC: 1.41798 (Simulation time: 0 hr 3 min 23 sec) 
Heartbeat CPU  0 instructions:  121000002 cycles:   57614842 heartbeat IPC: 1.50011 cumulative IPC: 1.42169 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  0 instructions:  122000000 cycles:   58286973 heartbeat IPC: 1.48780 cumulative IPC: 1.42456 (Simulation time: 0 hr 3 min 27 sec) 
Heartbeat CPU  0 instructions:  123000002 cycles:   59010283 heartbeat IPC: 1.38254 cumulative IPC: 1.42268 (Simulation time: 0 hr 3 min 29 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:   59748322 heartbeat IPC: 1.35494 cumulative IPC: 1.41973 (Simulation time: 0 hr 3 min 31 sec) 
Heartbeat CPU  0 instructions:  125000000 cycles:   60421979 heartbeat IPC: 1.48443 cumulative IPC: 1.42221 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:  126000000 cycles:   61130538 heartbeat IPC: 1.41132 cumulative IPC: 1.42178 (Simulation time: 0 hr 3 min 34 sec) 
Heartbeat CPU  0 instructions:  127000003 cycles:   61850481 heartbeat IPC: 1.38900 cumulative IPC: 1.42054 (Simulation time: 0 hr 3 min 36 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:   62523883 heartbeat IPC: 1.48499 cumulative IPC: 1.42275 (Simulation time: 0 hr 3 min 38 sec) 
Heartbeat CPU  0 instructions:  129000001 cycles:   63169759 heartbeat IPC: 1.54829 cumulative IPC: 1.42674 (Simulation time: 0 hr 3 min 40 sec) 
Heartbeat CPU  0 instructions:  130000001 cycles:   63857187 heartbeat IPC: 1.45470 cumulative IPC: 1.42765 (Simulation time: 0 hr 3 min 42 sec) 
Heartbeat CPU  0 instructions:  131000002 cycles:   64573583 heartbeat IPC: 1.39588 cumulative IPC: 1.42660 (Simulation time: 0 hr 3 min 44 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:   65234784 heartbeat IPC: 1.51240 cumulative IPC: 1.42914 (Simulation time: 0 hr 3 min 46 sec) 
Heartbeat CPU  0 instructions:  133000003 cycles:   65884794 heartbeat IPC: 1.53844 cumulative IPC: 1.43222 (Simulation time: 0 hr 3 min 48 sec) 
Heartbeat CPU  0 instructions:  134000001 cycles:   66610829 heartbeat IPC: 1.37734 cumulative IPC: 1.43054 (Simulation time: 0 hr 3 min 50 sec) 
Heartbeat CPU  0 instructions:  135000001 cycles:   67317212 heartbeat IPC: 1.41566 cumulative IPC: 1.43011 (Simulation time: 0 hr 3 min 52 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:   68060342 heartbeat IPC: 1.34566 cumulative IPC: 1.42763 (Simulation time: 0 hr 3 min 53 sec) 
Heartbeat CPU  0 instructions:  137000003 cycles:   68943407 heartbeat IPC: 1.13242 cumulative IPC: 1.41764 (Simulation time: 0 hr 3 min 55 sec) 
Heartbeat CPU  0 instructions:  138000002 cycles:   69655763 heartbeat IPC: 1.40379 cumulative IPC: 1.41727 (Simulation time: 0 hr 3 min 57 sec) 
Heartbeat CPU  0 instructions:  139000002 cycles:   70317279 heartbeat IPC: 1.51168 cumulative IPC: 1.41954 (Simulation time: 0 hr 3 min 59 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:   71074245 heartbeat IPC: 1.32106 cumulative IPC: 1.41690 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  0 instructions:  141000001 cycles:   71762179 heartbeat IPC: 1.45363 cumulative IPC: 1.41778 (Simulation time: 0 hr 4 min 3 sec) 
Heartbeat CPU  0 instructions:  142000001 cycles:   72424104 heartbeat IPC: 1.51075 cumulative IPC: 1.41986 (Simulation time: 0 hr 4 min 5 sec) 
Heartbeat CPU  0 instructions:  143000002 cycles:   73083832 heartbeat IPC: 1.51578 cumulative IPC: 1.42195 (Simulation time: 0 hr 4 min 7 sec) 
Heartbeat CPU  0 instructions:  144000000 cycles:   73796026 heartbeat IPC: 1.40411 cumulative IPC: 1.42154 (Simulation time: 0 hr 4 min 9 sec) 
Heartbeat CPU  0 instructions:  145000003 cycles:   74484848 heartbeat IPC: 1.45176 cumulative IPC: 1.42220 (Simulation time: 0 hr 4 min 11 sec) 
Heartbeat CPU  0 instructions:  146000000 cycles:   75140713 heartbeat IPC: 1.52470 cumulative IPC: 1.42428 (Simulation time: 0 hr 4 min 13 sec) 
Heartbeat CPU  0 instructions:  147000003 cycles:   75828536 heartbeat IPC: 1.45387 cumulative IPC: 1.42489 (Simulation time: 0 hr 4 min 15 sec) 
Heartbeat CPU  0 instructions:  148000000 cycles:   76534151 heartbeat IPC: 1.41720 cumulative IPC: 1.42473 (Simulation time: 0 hr 4 min 16 sec) 
